slug,name,side,effect_raw
spirit-of-serene-water,Spirit of Serene Water,front,"On Enter: Glimpse 6. Draw six cards. 

Lineage Release — Recover 6. (Activate this ability by banishing this card from your champion's inner lineage.)"
fragmented-spirit-of-water,Fragmented Spirit of Water,front,On Enter: Glimpse 6. Draw six cards. Then summon a Spirit Shard token.
stonescale-band,Stonescale Band,front,"[Class Bonus] On Enter: Discard up to three ally cards from your hand and/or memory, then draw that many cards.

(2), REST: The next ally card you activate this turn can be activated as though it had fast activation."
spirit-of-wind,Spirit of Wind,front,On Enter: Draw seven cards.
bellonas-runestone,Bellona's Runestone,front,Banish Bellona's Runestone: Target weapon you control gets +2 POWER until end of turn. Put a durability counter on that weapon.
spirit-of-fortuitous-wind,Spirit of Fortuitous Wind,front,On Enter: Glimpse 7. Draw seven cards into your memory.
spirit-of-serene-wind,Spirit of Serene Wind,front,"On Enter: Glimpse 6. Draw six cards. 

Lineage Release — Recover 6. (Activate this ability by banishing this card from your champion's inner lineage.)"
fragmented-spirit-of-wind,Fragmented Spirit of Wind,front,On Enter: Glimpse 6. Draw six cards. Then summon a Spirit Shard token.
insignia-of-the-corhazi,Insignia of the Corhazi,front,"(3), REST: Put a preparation counter on your champion.

[Class Bonus] Whenever you activate a prepared card while your influence is six or less, draw a card into your memory."
diao-chan-enchantress,"Diao Chan, Enchantress",front,"On Enter: Put two glimmer counters on Diao Chan.

Inherited Effect — REST: Activate a Reaction Spell card from your memory. Pay its reserve cost only by removing that many glimmer counters from Diao Chan. Activate this ability only during an opponent's turn."
arisanna-herbalist-prodigy,"Arisanna, Herbalist Prodigy",front,"On Enter: Gather twice. (To gather, summon a Blightroot, Manaroot, Silvershine, Fraysia, Razorvine, or Springleaf token, chosen at random.)"
lorraine-wandering-warrior,"Lorraine, Wandering Warrior",front,On Enter: Materialize a weapon card with memory cost 0 from your material deck.
tristan-underhanded,"Tristan, Underhanded",front,"On Enter: You may put a preparation counter on Tristan. If you don’t, you gain agility 3 for this turn. (Agility 3 — Return three cards from your memory to your hand at the beginning of the end phase.)"
jin-fate-defiant,"Jin, Fate Defiant",front,"Inherited Effect — Whenever Jin attacks with a Polearm weapon and/or Polearm attack card, target Horse or Human ally you control gets +1 POWER until end of turn. (Your champion has this ability as long as this card is part of its lineage.)"
clandestine-chart,Clandestine Chart,front,"(2), Banish Clandestine Chart: Glimpse 2. Put a preparation counter on your champion."
alice-golden-queen,"Alice, Golden Queen",front,"Inherited Effect — Chessman Command attack cards you activate enter the intent with +1POWER.

Lineage Release — For each awake Chessman ally you control, prevent the next 3 damage that would be dealt to that ally this turn."
merlin-kingslayer,"Merlin, Kingslayer",front,"Merlin Lineage

At the beginning of your recollection phase, put a level counter on Merlin. Then, if there's an even amount of level counters on Merlin, draw a card and Merlin's attacks get +2 POWER until end of turn."
tristan-shadowdancer,"Tristan, Shadowdancer",front,"Tristan Lineage

On Enter: Summon two Ominous Shadow tokens and put a preparation counter on Tristan.

Remove two preparation counters from Tristan: Change the target of an attack that targets Tristan to a phantasia ally you control."
silvie-slime-sovereign,"Silvie, Slime Sovereign",front,"Silvie Lineage

On Enter: The next Slime ally card you activate this turn costs 2 less to activate and enters the field with two additional buff counters on it.

Ignore the elemental requirements of advanced element Slime cards you activate."
diao-chan-dreaming-wish,"Diao Chan, Dreaming Wish",front,"Diao Chan Lineage

Inherited Effect — At the beginning of your end phase, if the amount of glimmer counters on Diao Chan is less than the amount of phantasias you control, put an amount of glimmer counters on Diao Chan equal to the difference."
arisanna-master-alchemist,"Arisanna, Master Alchemist",front,"Arisanna Lineage (Arisanna, Master Alchemist must be leveled from a previous level ""Arisanna"" champion.)

On Enter: Gather twice.

Inherited Effect: At the beginning of your end phase, you may sacrifice two Herbs with the same name. If you do, draw a card."
lorraine-blademaster,"Lorraine, Blademaster",front,"Lorraine Lineage (Lorraine, Blademaster must be leveled from a previous level ""Lorraine"" champion.)

On Enter: Until end of turn, Lorraine's attacks get +2 POWER and gain ""On Kill: Draw a card."""
lorraine-crux-knight,"Lorraine, Crux Knight",front,"Lorraine Lineage (Lorraine, Crux Knight must be leveled from a previous level ""Lorraine"" champion.)

Lorraine's attacks get +1 POWER for each regalia weapon card in your banishment."
ciel-loyal-valet,"Ciel, Loyal Valet",front,"On Enter: You gain the Servile Possessions mastery.

Inherited Effect — At the beginning of your end phase, you may banish a card from your graveyard or hand and put an omen counter on it."
tristan-hired-blade,"Tristan, Hired Blade",front,"Tristan Lineage

On Enter: If Tristan has two or more preparation counters on her, draw a card. Then if Tristan has four or more preparation counters on her, draw an additional card."
jin-zealous-maverick,"Jin, Zealous Maverick",front,"Jin Lineage (Jin, Zealous Maverick must be leveled from a previous level ""Jin"" champion.) 

On Enter: Jin's next attack this turn gets +1 POWER and has ""On Attack: Wake up Jin."""
cowl-of-the-wild,Cowl of the Wild,front,"As long as you control one or more non-Human Tamer allies, your champion gets +1 level."
azure-protective-trinket,Azure Protective Trinket,front,Banish Azure Protective Trinket: Banish up to three target fire element cards from a single graveyard.
assassins-mantle,Assassin's Mantle,front,"If your champion would take damage, you may banish Assassin's Mantle. If you do, prevent 1 of that damage. Put a preparation counter on your champion if damage was prevented this way."
fated-keepsake,Fated Keepsake,front,"On Enter: Draw a card. 

[Guo Jia Bonus] If your champion would take 7 or more damage while you control three or more Fatestone and/or Fatebound objects, prevent all but 6 of that damage."
zander-deft-executor,"Zander, Deft Executor",front,"Zander Lineage

On Enter: Put two preparation counters on Zander. Then you may remove a preparation counter from him. If you do, return an Assassin action or an Assassin attack card from your graveyard to your hand."
diao-chan-idyll-corsage,"Diao Chan, Idyll Corsage",front,"Diao Chan Lineage

On Enter: Choose any amount of non-champion objects and put a wither counter on each of them.

Whenever a non-token object an opponent controls is destroyed, you may banish it. If you do, that opponent summons a Flowerbud token."
arisanna-astral-zenith,"Arisanna, Astral Zenith",front,"Arisanna Lineage

Once per turn, you may pay (0) rather than pay a card's starcalling costs."
lorraine-spirit-ruler,"Lorraine, Spirit Ruler",front,"Lorraine Lineage (Lorraine, Spirit Ruler must be leveled from a previous level ""Lorraine"" champion.)

On Enter: Choose a Sword regalia card with memory cost 1 or less from your banishment and put it onto the field. It enters the field with three additional durability counters on it."
ciel-omenbringer,"Ciel, Omenbringer",front,"Ciel Lineage

On Enter: For each omen you have, discard a card from your hand or memory and draw a card into your memory.

Lineage Release — You may activate one of your omens. Activate this ability only if you have six or more omens."
jin-undying-resolve,"Jin, Undying Resolve",front,"Jin Lineage 

As long as it's not your end phase, Jin has immortality. (A unit with immortality can't die.)"
duxal-proclamation,Duxal Proclamation,front,Banish Duxal Proclamation: Allies you control get +1 POWER until end of turn. Activate this ability only if each opponent controls no allies.
crimson-protective-trinket,Crimson Protective Trinket,front,Banish Crimson Protective Trinket: Target opponent reveals two cards at random from their memory. Banish each wind element card revealed this way.
glimmer-essence-amulet,Glimmer Essence Amulet,front,"Whenever a phantasia you control is destroyed while it's not your turn, you may banish Glimmer Essence Amulet. If you do, draw a card."
tristan-shadowreaver,"Tristan, Shadowreaver",front,"Tristan Lineage

Tristan can level up into champions of the same base level. When she does, draw two cards.

On Enter: Banish the top four cards of target opponent’s deck face down. As long as they’re banished, you may play those cards, ignoring their elemental requirements."
polaris-twinkling-cauldron,"Polaris, Twinkling Cauldron",front,"[Arisanna Bonus] You may activate this card from your material deck. If you do, Polaris enters the field rested.

Whenever you sacrifice an Herb, put an age counter on Polaris.

[Class Bonus] REST, Banish Polaris: Deal X damage to all allies. Then generate up to X Cosmic Bolt cards and shuffle them into your deck. X is the amount of age counters that were on Polaris."
guo-jia-chosen-disciple,"Guo Jia, Chosen Disciple",front,"On Enter: If you don't control a Fatestone regalia, reveal all cards in your material deck. Then put a Fatestone regalia card with the lowest memory cost from among them onto the field."
arisanna-lucent-arbiter,"Arisanna, Lucent Arbiter",front,"Arisanna Lineage 

(3), REST: Reveal the top card of your deck. Negate target card activation if its reserve cost is equal to the reserve cost of the revealed card."
rai-spellcrafter,"Rai, Spellcrafter",front,On Enter: Put two enlighten counters on Rai. (You may remove three enlighten counters from your champion to draw a card.)
ciel-mirages-grave,"Ciel, Mirage's Grave",front,"Ciel Lineage

Whenever an omen counter is put on a card in your banishment, as a Spell, deal 2 unpreventable damage to up to one target unit."
kongming-wayward-maven,"Kongming, Wayward Maven",front,"On Enter: You gain the Shifting Currents mastery. (Players can only have one mastery. The Shifting Currents mastery has four modes: North, South, East, and West. Some cards benefit from certain directions of Shifting Currents. Starts in the North direction.)"
etherealys-promise,Etherealys' Promise,front,"Whenever an ally you control dies, put a refinement counter on Etherealys' Promise. Then if there are three or more refinement counters on Etherealys' Promise, you may banish it. If you do, draw a card."
alkahest,Alkahest,front,"At the beginning of your recollection phase, put an age counter on a Potion item you control.

[Level 4+] Banish Alkahest: Destroy target item or weapon with memory cost 0 or reserve cost 4 or less."
portentous-tanggu,Portentous Tanggu,front,"[Guo Jia Bonus] On Enter: Put a quest counter on your champion. (Apply this effect only if your champion is Guo Jia.)

(3), Banish Portentous Tanggu: Draw a card into your memory."
scepter-of-fascination,Scepter of Fascination,front,"On Enter: Draw a card. 

[Diao Chan Bonus] Banish Scepter of Fascination: Wake up your champion. Put two glimmer counters on your champion. (Activate this ability only if your champion is Diao Chan.)"
quicksilver-grail,Quicksilver Grail,front,"Divine Relic (You can only have one card with this keyword in your material deck.)

On Enter: Banish a non-champion card from your material deck face down.

Banish Quicksilver Grail: You may play the banished card. (You still pay for its costs.)"
reciprocity-dorumegias-call,"Reciprocity, Dorumegia's Call",front,"[Tonoris Bonus] As long as you control two or more domains, you may activate this card from your material deck.

[Tonoris Bonus] Remove a durability counter from Reciprocity, REST: Negate up to one target upkeep trigger. Then if you control two or more domains, summon an Automaton Drone token."
guo-jia-blessed-scion,"Guo Jia, Blessed Scion",front,"Guo Jia Lineage

On Enter: You may put two quest counters on Guo Jia. If you don't, draw a card.

Lineage Release — Negate target activation or trigger that targets a Fatestone or Fatebound object you control."
diana-keen-huntress,"Diana, Keen Huntress",front,Lineage Release — Materialize a Gun card from your material deck. (Activate this ability by banishing this card from your champion's inner lineage.)
rai-archmage,"Rai, Archmage",front,"Rai Lineage (Rai, Archmage must be leveled from a previous level ""Rai"" champion.)

Inherited Effect: Whenever you activate your first Mage action card each turn, put an enlighten counter on your champion. (Your champion has this ability as long as this card is part of its lineage.)"
rai-storm-seer,"Rai, Storm Seer",front,"Rai Lineage (Rai, Storm Seer must be leveled from a previous level ""Rai"" champion.)

Rai gets +1 level for each arcane element Mage Spell card in your banishment."
diana-aether-dilettante,"Diana, Aether Dilettante",front,"On Enter: If Diana is distant, materialize an Aetherwing card from your material deck. (You still pay its costs.)

Inherited Effect — Ranged 1 (As long as this unit is distant, its attacks get +1POWER.)"
kongming-ascetic-vice,"Kongming, Ascetic Vice",front,"Kongming Lineage (Kongming, Ascetic Vice must be leveled from a previous level ""Kongming"" champion.) 

On Enter: Empower 3.

Inherited Effect — Whenever your Shifting Currents change from facing North to South, draw a card."
fauna-friend,Fauna Friend,front,REST: Target non-Human ally gets +1 POWER until end of turn. Activate this ability only if you have two or more non-Human ally cards in your graveyard.
forest-cake,Forest Cake,front,"On Enter: Draw a card.

[Class Bonus] Whenever an Animal or Beast ally enters the field under your control, you may sacrifice Forest Cake. If you do, put a buff counter on that ally."
backup-charger,Backup Charger,front,"(3), Banish Backup Charger: Summon a Powercell token rested. Draw a card into your memory."
rousing-rattle-drum,Rousing Rattle Drum,front,Banish Rousing Rattle Drum: Wake up target defending Animal or Beast ally.
key-slime-pudding,Key Slime Pudding,front,"Banish Key Slime Pudding: Until end of turn, Slime allies that enter the field under your control enter with an additional buff counter on them."
clarent-reimagined,"Clarent, Reimagined",front,"[Lorraine Bonus] While paying for this card's memory cost, you may banish a card named Clarent, Sword of Peace and up to one other Sword Regalia card from your material deck. Each card banished this way pays for 1 of that cost.

[Lorraine Bonus] Remove a durability counter from Clarent: If target unit would be dealt non-combat damage this turn, prevent 2 of that damage. Clarent gains spellshroud until end of turn."
kaze-spirit-of-wind,"Kaze, Spirit of Wind",front,On Enter: Draw seven cards.
guo-jia-heavens-favored,"Guo Jia, Heaven's Favored",front,"As long as you control a Shenju ally, this card costs 3 less to materialize.

Guo Jia Lineage

On Enter: You may put three quest counters on Guo Jia. If you don't, recover 3."
diana-deadly-duelist,"Diana, Deadly Duelist",front,"Diana Lineage (Diana, Deadly Duelist must be leveled from a previous level ""Diana"" champion.)

On Enter: Materialize a Bullet card from your material deck. (You still pay its costs.)

Inherited Effect: Ranged 2"
rai-mana-weaver,"Rai, Mana Weaver",front,"Rai Lineage (Rai, Mana Weaver must be leveled from a previous level ""Rai"" champion.)

REST, Remove four enlighten counters from Rai: Copy target Mage Spell card activation. You may choose new targets for the copy."
silvie-loved-by-all,"Silvie, Loved by All",front,"Silvie Lineage (Silvie, Loved by All must be leveled from a previous level ""Silvie"" champion.)

Animal and Beast allies you control get +1 LIFE and have intercept."
diana-judgments-arrow,"Diana, Judgment's Arrow",front,"Diana Lineage

On Enter: Load up to two Aethercharge cards from your hand and/or memory into an Aetherwing weapon you control. For each card loaded this way, draw a card into your memory. 

Inherited Effect — Ranged 1"
tithe-proclamation,Tithe Proclamation,front,"On Enter: Draw a card.

Each player can't draw more than three cards each turn unless it's their first turn of the game."
kongming-fel-eidolon,"Kongming, Fel Eidolon",front,"Kongming Lineage

On Enter: Recover X, where X is the amount of tera element cards in your banishment.

Whenever you activate a Spell card, you may change the direction of your Shifting Currents to an adjacent direction of your choice."
gem-of-sorority,Gem of Sorority,front,Banish Gem of Sorority: Empower 2. (The next Spell card you activate this turn activates and resolves as if your champion got +2 level.)
gearstride-gloves,Gearstride Gloves,front,"On Enter: Put a preparation counter on your champion.

[Class Bonus] [Level 2+] Banish Gearstride Gloves: The next Reaction card you activate this turn costs 1 less to activate."
clockwork-musicbox,Clockwork Musicbox,front,"Hindered (This object enters the field rested.)

[Class Bonus] Whenever you activate a Harmony or Melody card from your hand, you may banish it as it resolves.

REST: You may activate a card banished by Clockwork Musicbox. (You still pay its costs.)"
aithne-spirit-of-fire,"Aithne, Spirit of Fire",front,On Enter: Draw seven cards.
hanabi-spirit-of-fire,"Hanabi, Spirit of Fire",front,On Enter: Draw seven cards.
diana-cursebreaker,"Diana, Cursebreaker",front,"Diana Lineage

Banish all Curse cards from Diana's lineage: Materialize two Bullet cards from your material deck. Until end of turn, Diana gains ""On Attack: Wake up Diana."" Activate this ability only if there are four or more Curse cards in Diana's lineage."
silvie-wilds-whisperer,"Silvie, Wilds Whisperer",front,On Enter: The next Animal or Beast ally card you activate this turn enters the field with an additional buff counter on it. (Allies get +1 power and +1 life for each buff counter on them.)
zander-blinding-steel,"Zander, Blinding Steel",front,"Zander Lineage (Zander, Blinding Steel must be leveled from a previous level ""Zander"" champion.)

At the beginning of your recollection phase, you may reveal all cards in your memory. For each luxem element card revealed, each opponent puts a card from their hand into their memory."
diana-moonpiercer,"Diana, Moonpiercer",front,"Diana Lineage

Whenever Diana becomes distant, choose one—
• Negate each card activation that targets Diana unless its controller pays (2). Then if Diana is defending, end the combat phase unless the attacking player pays (2).
• Glimpse 2."
crescent-glaive,Crescent Glaive,front,[Class Bonus] [Level 2+] Crescent Glaive gets +1 POWER. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 2 or higher.)
gossamer-staff,Gossamer Staff,front,"(1), REST: Empower 1. (The next Spell card you activate this turn activates and resolves as if your champion got +1 level.)"
viridian-protective-trinket,Viridian Protective Trinket,front,"During your turn, water element cards your opponents activate cost 2 more to activate."
framework-sidearm,Framework Sidearm,front,"(Gun — Must be loaded to use for an attack and can’t be used with an attack card.)

[Class Bonus] You may pay (3) to activate this card from your material deck."
executioners-spear,Executioner's Spear,front,"(Weapon — Enters the field with two durability counters. Weapons allow your champion to perform an attack, and can be used along with an attack card.)

[Jin Bonus] On Kill: Put a durability counter on Executioner's Spear. (Apply this effect only if your champion is Jin.)"
hairpin-of-transience,Hairpin of Transience,front,"[Class Bonus] Banish Hairpin of Transience: Put three wither counters on target non-champion object. (At the beginning of a player's main phase, if they control one or more objects with wither counters on them, for each of those objects, they sacrifice it unless they pay (1) for each wither counter on it, then remove wither counters.)"
slime-nexus,Slime Nexus,front,Banish Slime Nexus: The next Slime ally card you activate this turn costs 3 less to activate.
kongming-erudite-strategist,"Kongming, Erudite Strategist",front,"Kongming Lineage

On Enter: Banish the top card of your deck. Until the beginning of your next turn, you may play it as long as your Shifting Currents face North. Repeat this process for East, South, and West."
band-of-burning-verdict,Band of Burning Verdict,front,"On Enter: Draw a card.

[Class Bonus] REST: Target Animal or Beast ally you control gets +1 POWER and gains true sight until end of turn. (Units with true sight can attack units with stealth. Activate this ability only if your champion's class matches this card's class.)"
dusksoul-stone,Dusksoul Stone,front,"As an additional cost to materialize this card, banish two ally cards from a single graveyard.

Phantasias you control have spellshroud. (Objects with spellshroud can't be targeted by Spells.)

Banish Dusksoul Stone: Banish up to two cards from a single graveyard."
morrigan-lost-spirit,"Morrigan, Lost Spirit",front,On Enter: Draw seven cards.
diana-duskstalker,"Diana, Duskstalker",front,"Diana Lineage

On Enter: Diana becomes distant. 

On Champion Hit: Generate a Creeping Torment card and put it on the bottom of the hit champion's lineage. (To generate, add that card from outside of the game.)"
silvie-with-the-pack,"Silvie, With the Pack",front,"Silvie Lineage (Silvie, With the Pack must be leveled from a previous level ""Silvie"" champion.)

On Enter: If you control an Animal ally, draw a card. If you control a Beast ally, draw a card."
defenders-maul,Defender's Maul,front,"[Class Bonus] [Level 2+] Defender's Maul gets +2 POWER. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 2 or higher.)

As an additional cost to use this weapon for an attack, pay (2)."
halcyon-prism,Halcyon Prism,front,"Banish Halcyon Prism: Glimpse 3. (To glimpse, look at that many cards from the top of your deck. Put those cards back on the top or on the bottom of your deck in any order.)"
foresight-lens,Foresight Lens,front,"Banish Foresight Lens: Glimpse 2. If your champion is distant, glimpse 4 instead. (To glimpse, look at that many cards from the top of your deck. Put those cards back on the top or on the bottom of your deck in any order.)"
beastsoul-visage,Beastsoul Visage,front,"Ally Link (This object enters the field linked to target ally. If the link is broken, sacrifice this object.)

Linked ally gets +2 POWER, has pride 3, and is a Beast in addition to its other types."
mercenarys-blade,Mercenary's Blade,front,[Class Bonus] You may remove a preparation counter from your champion to activate this card from your material deck. (Apply this effect only if your champion’s class matches this card’s class.)
fan-of-seven-debts,Fan of Seven Debts,front,"On Enter: Draw a card.

[Kongming Bonus] Banish Fan of Seven Debts: Change the direction of your Shifting Currents to a different direction of your choice."
kaleidoscope-barrette,Kaleidoscope Barrette,front,"On Enter: Draw a card.

At the beginning of your recollection phase, empower X, where X is the amount of phantasias you control. Then if X is 4 or greater, reveal the top card of your deck and put it into your material deck preserved."
malignant-athame,Malignant Athame,front,"[Class Bonus] On Champion Hit: You may have that opponent swap the cards in their hand and memory. Then if there are four or more cards in their memory, deal 2 unpreventable damage to the hit champion."
slime-totem,Slime Totem,front,Slime allies you control have vigor. (These units wake up at the beginning of your end phase.)
art-of-war,Art of War,front,"Divine Relic

Players can't declare attacks with allies that entered the field this turn.

While paying for a memory cost, you may banish Art of War to pay for 1 of that cost."
fabled-azurite-fatestone,Fabled Azurite Fatestone,front,"Immortality, Spellshroud

[Guo Jia Bonus] At the beginning of your end phase, you may banish a card at random from your memory. If you do, draw a card.

[Guo Jia Bonus] Whenever you banish a card from your memory, put a quest counter on your champion. 

REST: You may remove ten quest counters from your champion. If you do, wake up and transform Fabled Azurite Fatestone."
seiryuu-azure-dragon,"Seiryuu, Azure Dragon",back,"Spellshroud, Taunt

[Guo Jia Bonus] On Attack: Choose one— 
 • Generate an Arcane Blast card and banish it. As long as it's banished, you may activate it, ignoring its elemental requirements.
 • Empower X+2, where X is the amount of arcane element cards in your banishment."
miao-spirit-of-water,"Miao, Spirit of Water",front,On Enter: Draw seven  cards.
tonoris-lone-mercenary,"Tonoris, Lone Mercenary",front,"On Enter: Tonoris gains taunt until the beginning of your next turn. (While awake, this unit must be targeted before other units you control during your opponents' attack declarations if able.)"
silvie-earths-tune,"Silvie, Earth's Tune",front,"Silvie Lineage (Silvie, Earth's Tune must be leveled from a previous level ""Silvie"" champion.)

On Enter: Reveal cards from the top of your deck until you reveal a tera element Animal or Beast ally card. Put that card into your hand and the rest on the bottom of your deck in a random order."
emergent-dagger,Emergent Dagger,front,[Class Bonus] [Level 2+] Emergent Dagger gets +2 POWER. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 2 or higher.)
intwined-bangle,Intwined Bangle,front,"[Level 2+] (3), REST: Put a buff counter on target non-Human ally you control. (Allies get +1 POWER and +1 LIFE for each buff counter on them.)"
censer-of-restful-peace,Censer of Restful Peace,front,Cards in graveyards lose all abilities.
clarent-sword-of-peace,"Clarent, Sword of Peace",front,[Class Bonus] Remove a durability counter from Clarent: Prevent the next 1 non-combat damage that would be dealt to each unit you control this turn. (Activate this ability only if your champion's class matches this card's class.)
candlelight-hourglass,Candlelight Hourglass,front,"On Enter: Draw a card.

On Charge 2: Candlelight Hourglass gains ”Activated abilities of allies you don't control cost (2) more to activate.” (At the beginning of your recollection phase, put a charge counter on each object you control with an untriggered on charge ability. Trigger this ability the first time two charge counters are on it.)"
grande-aiguille,Grande Aiguille,front,"[Ciel Bonus] As long as you have two or more ally omens, Grande Aiguille gets +1POWER. *(An omen is a card in a banishment with an omen counter on it.)"
explosive-rune,Explosive Rune,front,"Banish Explosive Rune: Deal 1 damage to target ally. Class Bonus: If that ally is attacking, deal 2 damage to it instead."
shadeblood-coating,Shadeblood Coating,front,"Banish Shadeblood Coating: Up to three target units you control gain ""On Hit: Put a preparation counter on your champion"" until end of turn."
incandescent-reliquary,Incandescent Reliquary,front,"[Class Bonus] This card costs 1 less to materialize.

At the beginning of your recollection phase, if you are the player with the least influence, draw a card. (A player's influence is equal to the total amount of cards in their hand and memory.)"
staff-of-blossoming-will,Staff of Blossoming Will,front,"On Enter: Draw a card.

[Diao Chan Bonus] (1), REST: Target player summons a Flowerbud token."
verdant-scepter,Verdant Scepter,front,"[Class Bonus] On Enter: You may banish a Slime ally you control. If you do, put an amount of refinement counters on Verdant Scepter equal to the banished ally's power plus 1.

REST, Remove a refinement counter from Verdant Scepter: Put a buff counter on each of up to two Slime allies you control then draw a card."
mercurial-heart,Mercurial Heart,front,"Divine Relic (You can only have one card with this keyword in your material deck.)

On Enter: Put a buff counter on target Automaton ally you control."
gate-of-alterity,Gate of Alterity,front,"REST: Put Gate of Alterity on the bottom of your champion's lineage then choose a class. Gate of Alterity gains ""Inherited Effect: This object is the chosen class in addition to its other classes."""
tonoris-might-of-humanity,"Tonoris, Might of Humanity",front,"Tonoris Lineage (Tonoris, Might of Humanity must be leveled from a previous level ""Tonoris"" champion.)

On Enter: Tonoris' next attack this turn gets +3 POWER."
zander-prepared-scout,"Zander, Prepared Scout",front,"On Enter: Glimpse 2. Put a preparation counter on Zander. (To glimpse, look at that many cards from the top of your deck. Put those cards back on the top or on the bottom of your deck in any order.)"
fan-of-insight,Fan of Insight,front,"[Class Bonus] [Level 2+] On Enter: Draw a card into your memory. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 2 or higher.)

Banish Fan of Insight: Return a card from your memory to your hand."
marksmans-charm,Marksman's Charm,front,Banish Marksman's Charm: Target unit gains true sight until end of turn. (Units with true sight can attack units with stealth.)
